upkb_accession,gene_age,age_bin
P52594,645,500-1000
P52701,1714,>1000
P52735,645,500-1000
P52736,132,100-500
P52742,645,500-1000
P52744,55,<100
P52747,1488,>1000
P52756,680,500-1000
P52757,1488,>1000
P52798,332,100-500
P52848,987,500-1000
P52926,886,500-1000
P52948,1488,>1000
P52952,810,500-1000
P53355,886,500-1000
P53365,950,500-1000
P53367,950,500-1000
P53396,1488,>1000
P53539,680,500-1000
P53634,1488,>1000
P53667,645,500-1000
P53671,544,500-1000
P53779,1488,>1000
P53804,680,500-1000
P53805,680,500-1000
P53814,382,100-500
P53990,1714,>1000
P54108,382,100-500
P54219,454,100-500
P54252,645,500-1000
P54257,950,500-1000
P54277,950,500-1000
P54278,1714,>1000
P54284,950,500-1000
P54289,680,500-1000
P54315,244,100-500
P54578,1488,>1000
P54619,1488,>1000
P54687,4300,>1000
P54725,1714,>1000
P54750,987,500-1000
P54756,544,500-1000
P54760,544,500-1000
P54762,645,500-1000
P54803,680,500-1000
P54819,1714,>1000
P54829,544,500-1000
P54868,332,100-500
P55001,645,500-1000
P55008,645,500-1000
P55017,1292,>1000
P55058,987,500-1000
P55060,1714,>1000
P55075,680,500-1000
P55196,987,500-1000
P55197,950,500-1000
P55201,1488,>1000
P55209,886,500-1000
P55210,987,500-1000
P55211,886,500-1000
P55259,55,<100
P55263,4300,>1000
P55265,987,500-1000
P55290,645,500-1000
P55327,3,<100
P55345,382,100-500
P55735,4300,>1000
P55808,36,<100
P55916,382,100-500
P55957,244,100-500
P56134,382,100-500
P56179,886,500-1000
P56180,950,500-1000
P56270,645,500-1000
P56282,4300,>1000
P56545,4300,>1000
P56817,645,500-1000
P56937,680,500-1000
P56945,987,500-1000
P56975,544,500-1000
P57054,645,500-1000
P57071,645,500-1000
P57075,424,100-500
P57081,544,500-1000
P57087,544,500-1000
P57103,680,500-1000
P57721,244,100-500
P57727,680,500-1000
P57737,987,500-1000
P57740,1488,>1000
P57789,950,500-1000
P58005,1064,>1000
P58215,987,500-1000
P58335,645,500-1000
P58340,987,500-1000
P58397,645,500-1000
P58418,886,500-1000
P58499,645,500-1000
P58505,645,500-1000
P58557,680,500-1000
P58658,382,100-500
P58743,645,500-1000
P58753,544,500-1000
P58872,1488,>1000
P59045,101,100-500
P59046,544,500-1000
P59103,25,<100
P59510,645,500-1000
P59998,1714,>1000
P60174,4300,>1000
P60484,70,<100
P60842,332,100-500
P60900,4300,>1000
P61077,645,500-1000
P61086,645,500-1000
P61224,454,100-500
P61244,987,500-1000
P61289,1064,>1000
P61923,4300,>1000
P61978,1292,>1000
P62068,645,500-1000
P62070,1488,>1000
P62136,645,500-1000
P62508,680,500-1000
P62633,1488,>1000
P62820,424,100-500
P62847,4300,>1000
P62899,78,<100
P62995,645,500-1000
P63010,680,500-1000
P67812,4300,>1000
P68036,645,500-1000
P68402,886,500-1000
P78310,645,500-1000
P78312,680,500-1000
P78314,680,500-1000
P78324,18,<100
P78325,645,500-1000
P78332,454,100-500
P78347,544,500-1000
P78348,987,500-1000
P78352,454,100-500
P78369,544,500-1000
P78380,382,100-500
P78381,645,500-1000
P78396,4300,>1000
P78410,382,100-500
P78411,645,500-1000
P78417,454,100-500
P78509,886,500-1000
P78524,645,500-1000
P78539,544,500-1000
P78549,645,500-1000
P78563,987,500-1000
P81408,645,500-1000
P81605,55,<100
P81877,645,500-1000
P82279,645,500-1000
P82663,987,500-1000
P82912,645,500-1000
P84022,987,500-1000
P84101,132,100-500
P84157,25,<100
P84550,645,500-1000
P85298,645,500-1000
P85299,645,500-1000
P98082,987,500-1000
P98153,645,500-1000
P98161,1064,>1000
P98173,454,100-500
P98175,454,100-500
P98182,168,100-500
P98194,886,500-1000
P98198,4300,>1000
Q00005,4300,>1000
Q00013,987,500-1000
Q00532,4300,>1000
Q00536,454,100-500
Q00653,424,100-500
Q00722,1714,>1000
Q00872,950,500-1000
Q00888,168,100-500
Q00973,645,500-1000
Q00987,950,500-1000
Q01081,1714,>1000
Q01082,987,500-1000
Q01105,55,<100
Q01113,332,100-500
Q01167,645,500-1000
Q01196,645,500-1000
Q01344,424,100-500
Q01432,1714,>1000
Q01433,1714,>1000
Q01484,645,500-1000
Q01543,645,500-1000
Q01638,454,100-500
Q01668,645,500-1000
Q01804,1488,>1000
Q01814,886,500-1000
Q01831,1714,>1000
Q01844,987,500-1000
Q01892,645,500-1000
Q01955,544,500-1000
Q01973,645,500-1000
Q02040,987,500-1000
Q02078,645,500-1000
Q02083,680,500-1000
Q02153,950,500-1000
Q02161,680,500-1000
Q02218,1488,>1000
Q02241,1488,>1000
Q02297,645,500-1000
Q02447,544,500-1000
Q02505,36,<100
Q02548,544,500-1000
Q02641,950,500-1000
Q02763,645,500-1000
Q02833,680,500-1000
Q02930,1292,>1000
Q02952,645,500-1000
Q02962,645,500-1000
Q03001,645,500-1000
Q03013,987,500-1000
Q03060,1292,>1000
Q03112,810,500-1000
Q03113,1488,>1000
Q03154,1064,>1000
Q03164,1488,>1000
Q03181,810,500-1000
Q03405,382,100-500
Q03721,645,500-1000
Q03923,55,<100
Q03936,70,<100
Q04206,454,100-500
Q04609,987,500-1000
Q04637,886,500-1000
Q04656,4300,>1000
Q04671,645,500-1000
Q04725,544,500-1000
Q04726,987,500-1000
Q04727,645,500-1000
Q04759,645,500-1000
Q04900,454,100-500
Q04912,645,500-1000
Q05084,987,500-1000
Q05086,1488,>1000
Q05193,645,500-1000
Q05209,645,500-1000
Q05397,645,500-1000
Q05513,680,500-1000
Q05586,645,500-1000
Q05682,645,500-1000
Q05707,645,500-1000
Q05932,4300,>1000
Q05BQ5,680,500-1000
Q05BV3,645,500-1000
Q06055,680,500-1000
Q06124,645,500-1000
Q06190,680,500-1000
Q06265,645,500-1000
Q06323,454,100-500
Q06330,987,500-1000
Q06413,645,500-1000
Q06455,645,500-1000
Q06481,645,500-1000
Q06547,544,500-1000
Q06609,645,500-1000
Q06710,544,500-1000
Q06730,168,100-500
Q06787,987,500-1000
Q07343,950,500-1000
Q07666,645,500-1000
Q07812,987,500-1000
Q07817,987,500-1000
Q07837,645,500-1000
Q07866,987,500-1000
Q07912,424,100-500
Q07955,544,500-1000
Q07973,544,500-1000
Q08050,680,500-1000
Q08209,645,500-1000
Q08257,1488,>1000
Q08289,950,500-1000
Q08345,3,<100
Q08378,645,500-1000
Q08431,987,500-1000
Q08493,987,500-1000
Q08495,645,500-1000
Q08499,950,500-1000
Q08623,1292,>1000
Q08648,3,<100
Q08722,332,100-500
Q08AD1,544,500-1000
Q08AE8,680,500-1000
Q08AI8,544,500-1000
Q08J23,1488,>1000
Q09013,382,100-500
Q09028,1488,>1000
Q09428,680,500-1000
Q09FC8,55,<100
Q0D2I5,645,500-1000
Q0D2J5,70,<100
Q0GE19,987,500-1000
Q0IIM8,544,500-1000
Q0JRZ9,645,500-1000
Q0P651,987,500-1000
Q0VAM2,645,500-1000
Q0VD83,244,100-500
Q0VDD8,244,100-500
Q0VG06,645,500-1000
Q0ZGT2,680,500-1000
Q10567,4300,>1000
Q11203,645,500-1000
Q11206,645,500-1000
Q12756,645,500-1000
Q12765,645,500-1000
Q12767,1064,>1000
Q12769,1488,>1000
Q12770,1488,>1000
Q12791,645,500-1000
Q12792,645,500-1000
Q12794,886,500-1000
Q12797,987,500-1000
Q12800,987,500-1000
Q12802,680,500-1000
Q12805,645,500-1000
Q12809,987,500-1000
Q12815,244,100-500
Q12816,1488,>1000
Q12830,950,500-1000
Q12857,987,500-1000
Q12860,645,500-1000
Q12873,645,500-1000
Q12888,645,500-1000
Q12906,987,500-1000
Q12913,645,500-1000
Q12923,645,500-1000
Q12933,680,500-1000
Q12934,544,500-1000
Q12955,645,500-1000
Q12959,987,500-1000
Q12967,544,500-1000
Q12968,645,500-1000
Q12972,987,500-1000
Q12974,1714,>1000
Q12979,987,500-1000
Q12981,1488,>1000
Q12986,1714,>1000
Q12996,1488,>1000
Q13002,950,500-1000
Q13007,244,100-500
Q13017,645,500-1000
Q13029,544,500-1000
Q13042,1714,>1000
Q13045,1488,>1000
Q13061,544,500-1000
Q13085,3,<100
Q13098,4300,>1000
Q13099,987,500-1000
Q13105,645,500-1000
Q13107,1714,>1000
Q13111,1292,>1000
Q13117,8,<100
Q13118,886,500-1000
Q13126,1292,>1000
Q13127,645,500-1000
Q13133,454,100-500
Q13137,950,500-1000
Q13163,1714,>1000
Q13164,4300,>1000
Q13183,886,500-1000
Q13190,4300,>1000
Q13191,645,500-1000
Q13200,4300,>1000
Q13228,680,500-1000
Q13231,886,500-1000
Q13239,987,500-1000
Q13241,382,100-500
Q13243,645,500-1000
Q13247,544,500-1000
Q13255,987,500-1000
Q13261,244,100-500
Q13277,454,100-500
Q13286,645,500-1000
Q13291,544,500-1000
Q13303,4300,>1000
Q13308,680,500-1000
Q13309,1488,>1000
Q13310,645,500-1000
Q13322,987,500-1000
Q13324,645,500-1000
Q13330,987,500-1000
Q13332,645,500-1000
Q13342,382,100-500
Q13352,332,100-500
Q13360,78,<100
Q13362,4300,>1000
Q13367,680,500-1000
Q13387,454,100-500
Q13393,680,500-1000
Q13398,36,<100
Q13402,987,500-1000
Q13404,1488,>1000
Q13409,645,500-1000
Q13418,987,500-1000
Q13421,680,500-1000
Q13422,680,500-1000
Q13426,544,500-1000
Q13428,382,100-500
Q13438,645,500-1000
Q13439,680,500-1000
Q13444,645,500-1000
Q13469,544,500-1000
Q13472,4300,>1000
Q13477,168,100-500
Q13491,810,500-1000
Q13492,1488,>1000
Q13495,544,500-1000
Q13505,1488,>1000
Q13508,544,500-1000
Q13510,950,500-1000
Q13535,1488,>1000
Q13554,544,500-1000
Q13555,544,500-1000
Q13557,78,<100
Q13561,645,500-1000
Q13563,950,500-1000
Q13564,1714,>1000
Q13568,987,500-1000
Q13574,680,500-1000
Q13576,1488,>1000
Q13595,680,500-1000
Q13596,645,500-1000
Q13608,645,500-1000
Q13615,1488,>1000
Q13618,1714,>1000
Q13620,680,500-1000
Q13625,645,500-1000
Q13627,1488,>1000
Q13635,1488,>1000
Q13639,645,500-1000
Q13642,680,500-1000
Q13683,987,500-1000
Q13740,544,500-1000
Q13772,680,500-1000
Q13795,1488,>1000
Q13813,810,500-1000
Q13822,1488,>1000
Q13868,4300,>1000
Q13875,645,500-1000
Q13887,950,500-1000
Q13905,1488,>1000
Q13936,645,500-1000
Q13938,424,100-500
Q13946,987,500-1000
Q13950,987,500-1000
Q13952,1488,>1000
Q13972,645,500-1000
Q13976,680,500-1000
Q14005,645,500-1000
Q14008,4300,>1000
Q14011,544,500-1000
Q14028,55,<100
Q14103,544,500-1000
Q14114,645,500-1000
Q14123,950,500-1000
Q14135,645,500-1000
Q14141,1292,>1000
Q14142,454,100-500
Q14155,645,500-1000
Q14156,1488,>1000
Q14157,886,500-1000
Q14159,544,500-1000
Q14160,1488,>1000
Q14161,645,500-1000
Q14162,680,500-1000
Q14168,680,500-1000
Q14188,1064,>1000
Q14202,544,500-1000
Q14203,1488,>1000
Q14244,645,500-1000
Q14246,424,100-500
Q14247,645,500-1000
Q14296,645,500-1000
Q14318,645,500-1000
Q14393,382,100-500
Q14406,544,500-1000
Q14439,645,500-1000
Q14444,987,500-1000
Q14451,987,500-1000
Q14498,645,500-1000
Q14508,332,100-500
Q14511,987,500-1000
Q14524,382,100-500
Q14542,680,500-1000
Q14587,86,<100
Q14624,332,100-500
Q14643,680,500-1000
Q14653,987,500-1000
Q14667,1292,>1000
Q14669,1488,>1000
Q14671,4300,>1000
Q14676,987,500-1000
Q14677,645,500-1000
Q14680,1292,>1000
Q14687,645,500-1000
Q14689,1292,>1000
Q14693,544,500-1000
Q14694,645,500-1000
Q14697,680,500-1000
Q14714,645,500-1000
Q14722,4300,>1000
Q14738,4300,>1000
Q14766,544,500-1000
Q14773,168,100-500
Q14789,544,500-1000
Q14790,886,500-1000
Q14802,244,100-500
Q14814,454,100-500
Q14831,645,500-1000
Q14833,645,500-1000
Q14847,987,500-1000
Q14849,987,500-1000
Q14865,987,500-1000
Q14934,454,100-500
Q14938,987,500-1000
Q14966,544,500-1000
Q14978,454,100-500
Q14980,544,500-1000
Q14982,544,500-1000
Q14994,810,500-1000
Q14997,1714,>1000
Q149M9,4300,>1000
Q149N8,645,500-1000
Q14BN4,645,500-1000
Q14C86,987,500-1000
Q14CB8,645,500-1000
Q14CN4,382,100-500
Q14D04,645,500-1000
Q14DG7,382,100-500
Q15008,4300,>1000
Q15011,987,500-1000
Q15019,680,500-1000
Q15020,1488,>1000
Q15025,680,500-1000
Q15029,4300,>1000
Q15032,645,500-1000
Q15038,950,500-1000
Q15041,645,500-1000
Q15042,1064,>1000
Q15043,987,500-1000
Q15047,4300,>1000
Q15051,987,500-1000
Q15054,168,100-500
Q15063,886,500-1000
Q15067,645,500-1000
Q15070,1714,>1000
Q15084,4300,>1000
Q15109,244,100-500
Q15131,950,500-1000
Q15147,987,500-1000
Q15149,645,500-1000
Q15154,987,500-1000
Q15165,645,500-1000
Q15185,4300,>1000
Q15223,680,500-1000
Q15256,544,500-1000
Q15257,4300,>1000
Q15262,645,500-1000
Q15287,987,500-1000
Q15303,645,500-1000
Q15326,810,500-1000
Q15329,1064,>1000
Q15349,544,500-1000
Q15366,454,100-500
Q15375,544,500-1000
Q15386,1292,>1000
Q15393,1934,>1000
Q15398,987,500-1000
Q15406,680,500-1000
Q15413,680,500-1000
Q15417,1488,>1000
Q15418,544,500-1000
Q15424,544,500-1000
Q15435,70,<100
Q15438,4300,>1000
Q15555,1488,>1000
Q15561,454,100-500
Q15562,382,100-500
Q15572,680,500-1000
Q15583,886,500-1000
Q15599,987,500-1000
Q155Q3,987,500-1000
Q15637,1488,>1000
Q15642,1488,>1000
Q15646,680,500-1000
Q15652,680,500-1000
Q15654,244,100-500
Q15700,680,500-1000
Q15714,680,500-1000
Q15723,645,500-1000
Q15735,4300,>1000
Q15742,886,500-1000
Q15746,810,500-1000
Q15758,645,500-1000
Q15772,244,100-500
Q15782,168,100-500
Q15788,645,500-1000
Q15811,1488,>1000
Q15833,544,500-1000
Q15853,645,500-1000
Q15858,382,100-500
Q15878,544,500-1000
Q15884,645,500-1000
Q15910,987,500-1000
Q15973,55,<100
Q16222,4300,>1000
Q16236,645,500-1000
Q16281,886,500-1000
Q16288,544,500-1000
Q16342,1714,>1000
Q16363,544,500-1000
Q16512,680,500-1000
Q16513,680,500-1000
Q16537,4300,>1000
Q16539,645,500-1000
Q16587,168,100-500
Q16595,645,500-1000
Q16610,454,100-500
Q16620,645,500-1000
Q16623,4300,>1000
Q16625,987,500-1000
Q16629,950,500-1000
Q16630,645,500-1000
Q16635,1488,>1000
Q16637,1064,>1000
Q16643,544,500-1000
Q16653,3,<100
Q16656,987,500-1000
Q16665,680,500-1000
Q16666,78,<100
Q16671,987,500-1000
Q16720,4300,>1000
Q16773,4300,>1000
Q16774,4300,>1000
Q16775,645,500-1000
Q16787,544,500-1000
Q16799,950,500-1000
Q16822,1064,>1000
Q16827,987,500-1000
Q16836,645,500-1000
Q16849,886,500-1000
Q16853,645,500-1000
Q16854,680,500-1000
Q16875,1064,>1000
Q16877,1064,>1000
Q16881,454,100-500
Q16890,810,500-1000
Q16891,1488,>1000
Q17R31,4300,>1000
Q17R89,454,100-500
Q17R98,544,500-1000
Q17RD7,645,500-1000
Q17RM4,168,100-500
Q17RY0,987,500-1000
Q18PE1,645,500-1000
Q1A5X6,424,100-500
Q1HG43,810,500-1000
Q1MSJ5,950,500-1000
Q1MX18,544,500-1000
Q1X8D7,382,100-500
Q1ZYL8,132,100-500
Q24JP5,332,100-500
Q24JQ0,680,500-1000
Q27J81,950,500-1000
Q29980,544,500-1000
Q2KHR2,645,500-1000
Q2KHT3,1714,>1000
Q2KHT4,454,100-500
Q2LD37,987,500-1000
Q2M296,645,500-1000
Q2M2Z5,680,500-1000
Q2M3G0,4300,>1000
Q2M3M2,886,500-1000
Q2M3W8,987,500-1000
Q2MKA7,645,500-1000
Q2MV58,680,500-1000
Q2NKQ1,645,500-1000
Q2NL67,680,500-1000
Q2NL68,168,100-500
Q2PPJ7,544,500-1000
Q2QGD7,244,100-500
Q2T9K0,544,500-1000
Q2TAC6,645,500-1000
Q2TAK8,680,500-1000
Q2TAZ0,1488,>1000
Q2TB90,1292,>1000
Q2TBC4,168,100-500
Q2TBE0,1488,>1000
Q2UY09,382,100-500
Q2V2M9,680,500-1000
Q2VPA4,55,<100
Q2VPK5,1488,>1000
Q2VYF4,1488,>1000
Q2Y0W8,987,500-1000
Q30201,544,500-1000
Q32M45,645,500-1000
Q32MH5,645,500-1000
Q32MZ4,810,500-1000
Q32NB8,1488,>1000
Q32P28,886,500-1000
Q32P44,544,500-1000
Q330K2,645,500-1000
Q33E94,950,500-1000
Q3B7J2,987,500-1000
Q3B7T1,987,500-1000
Q3B7T3,132,100-500
Q3B820,645,500-1000
Q3KNS6,101,100-500
Q3KNT9,168,100-500
Q3KP22,132,100-500
Q3KP44,680,500-1000
Q3KPI0,18,<100
Q3KQU3,645,500-1000
Q3KQZ1,454,100-500
Q3KR16,168,100-500
Q3KR37,645,500-1000
Q3KRA9,1714,>1000
Q3L8U1,1714,>1000
Q3SXY8,645,500-1000
Q3SXZ7,987,500-1000
Q3SY52,93,<100
Q3SY69,4300,>1000
Q3SYC2,1488,>1000
Q3SYG4,987,500-1000
Q3T8J9,645,500-1000
Q3V5L5,680,500-1000
Q3V6T2,1064,>1000
Q3YBR2,645,500-1000
Q3YEC7,1064,>1000
Q3ZCQ8,645,500-1000
Q3ZCX4,168,100-500
Q401N2,168,100-500
Q460N5,886,500-1000
Q494U1,382,100-500
Q495B1,950,500-1000
Q495C1,55,<100
Q495M3,4300,>1000
Q495N2,4300,>1000
Q495T6,645,500-1000
Q496Y0,1292,>1000
Q499Z3,544,500-1000
Q49A26,810,500-1000
Q49A88,680,500-1000
Q49A92,680,500-1000
Q49AJ0,4300,>1000
Q49AR2,987,500-1000
Q49MI3,4300,>1000
Q4AC94,987,500-1000
Q4ADV7,1488,>1000
Q4AE62,987,500-1000
Q4FZB7,950,500-1000
Q4G0J3,1292,>1000
Q4G0N4,810,500-1000
Q4G0P3,244,100-500
Q4G0T1,424,100-500
Q4G0U5,168,100-500
Q4G0X9,987,500-1000
Q4G0Z9,680,500-1000
Q4G1C9,680,500-1000
Q4J6C6,645,500-1000
Q4JDL3,645,500-1000
Q4KMQ1,680,500-1000
Q4KMQ2,645,500-1000
Q4KMZ1,132,100-500
Q4KWH8,680,500-1000
Q4L180,680,500-1000
Q4L235,987,500-1000
Q4LDE5,645,500-1000
Q4LDG9,987,500-1000
Q4LE39,987,500-1000
Q4U2R8,244,100-500
Q4V328,987,500-1000
Q4VC12,645,500-1000
Q4VC44,244,100-500
Q4VNC1,4300,>1000
Q4ZG55,86,<100
Q4ZJI4,987,500-1000
Q502W6,1064,>1000
Q504Q3,1714,>1000
Q504Y0,886,500-1000
Q53EL9,645,500-1000
Q53EP0,950,500-1000
Q53F39,886,500-1000
Q53GD3,645,500-1000
Q53GG5,645,500-1000
Q53GS9,1488,>1000
Q53H47,55,<100
Q53H76,645,500-1000
Q53RD9,1064,>1000
Q53SF7,544,500-1000
Q53T94,950,500-1000
Q53TN4,680,500-1000
Q53TS8,244,100-500
Q562E7,4300,>1000
Q562F6,382,100-500
Q569H4,645,500-1000
Q569K4,680,500-1000
Q56UN5,645,500-1000
Q58A45,950,500-1000
Q58EX2,645,500-1000
Q58EX7,645,500-1000
Q58F21,1488,>1000
Q58WW2,645,500-1000
Q59EK9,454,100-500
Q59H18,544,500-1000
Q5BJD5,1488,>1000
Q5BJE1,132,100-500
Q5BJF6,987,500-1000
Q5BJH7,4300,>1000
Q5BKX5,1064,>1000
Q5BKX6,645,500-1000
Q5BKZ1,645,500-1000
Q5BLP8,544,500-1000
Q5BVD1,332,100-500
Q5D0E6,987,500-1000
Q5DID0,132,100-500
Q5DX21,645,500-1000
Q5EB52,1064,>1000
Q5EBL4,886,500-1000
Q5EBM0,680,500-1000
Q5F1R6,1714,>1000
Q5FBB7,544,500-1000
Q5FVE4,886,500-1000
Q5FWE3,544,500-1000
Q5FWF4,645,500-1000
Q5FWF6,168,100-500
Q5GFL6,645,500-1000
Q5GLZ8,645,500-1000
Q5H8A4,1064,>1000
Q5H8C1,680,500-1000
Q5H9F3,886,500-1000
Q5H9K5,382,100-500
Q5H9L4,132,100-500
Q5H9R4,132,100-500
Q5H9R7,1488,>1000
Q5HYI7,1488,>1000
Q5HYJ3,886,500-1000
Q5HYK7,680,500-1000
Q5HYL7,424,100-500
Q5I0G3,987,500-1000
Q5IJ48,382,100-500
Q5J8M3,1714,>1000
Q5J8X5,950,500-1000
Q5JPE7,987,500-1000
Q5JPF3,55,<100
Q5JR59,645,500-1000
Q5JRA6,680,500-1000
Q5JRV8,544,500-1000
Q5JRX3,4300,>1000
Q5JS13,1488,>1000
Q5JS54,332,100-500
Q5JSH3,1488,>1000
Q5JSP0,1488,>1000
Q5JTD0,132,100-500
Q5JTH9,645,500-1000
Q5JTJ3,544,500-1000
Q5JTV8,950,500-1000
Q5JTW2,987,500-1000
Q5JU69,950,500-1000
Q5JU85,454,100-500
Q5JUK3,810,500-1000
Q5JUW0,101,100-500
Q5JVF3,1714,>1000
Q5JVG2,168,100-500
Q5JVL4,987,500-1000
Q5JW98,680,500-1000
Q5JWF2,1488,>1000
Q5JXA9,454,100-500
Q5JZY3,382,100-500
Q5K4E3,244,100-500
Q5K4L6,332,100-500
Q5M775,1064,>1000
Q5M7Z0,645,500-1000
Q5M9N0,544,500-1000
Q5MIZ7,1488,>1000
Q5NDL2,987,500-1000
Q5QGZ9,382,100-500
Q5QJU3,680,500-1000
Q5R372,544,500-1000
Q5RHP9,987,500-1000
Q5RIA9,544,500-1000
Q5SGD2,645,500-1000
Q5SNV9,132,100-500
Q5SQH8,987,500-1000
Q5SQI0,987,500-1000
Q5SQN1,645,500-1000
Q5SQS7,680,500-1000
Q5SRE7,1488,>1000
Q5SRH9,1714,>1000
Q5SRN2,132,100-500
Q5SRR4,3,<100
Q5SSG8,70,<100
Q5SSJ5,645,500-1000
Q5ST30,645,500-1000
Q5SV97,332,100-500
Q5SW24,645,500-1000
Q5SW79,680,500-1000
Q5SWX8,950,500-1000
Q5SXH7,332,100-500
Q5SY80,244,100-500
Q5SYB0,950,500-1000
Q5SZJ8,332,100-500
Q5SZL2,680,500-1000
Q5SZQ8,454,100-500
Q5T011,886,500-1000
Q5T013,645,500-1000
Q5T0F9,1064,>1000
Q5T0J7,132,100-500
Q5T0N1,987,500-1000
Q5T0N5,1488,>1000
Q5T0Z8,55,<100
Q5T124,987,500-1000
Q5T197,680,500-1000
Q5T1B0,680,500-1000
Q5T1H1,244,100-500
Q5T1M5,1714,>1000
Q5T1N1,680,500-1000
Q5T292,168,100-500
Q5T2E6,1488,>1000
Q5T2R2,4300,>1000
Q5T3F8,544,500-1000
Q5T4D3,645,500-1000
Q5T4F4,645,500-1000
Q5T4S7,1064,>1000
Q5T4W7,645,500-1000
Q5T5C0,950,500-1000
Q5T5M9,4300,>1000
Q5T5P2,950,500-1000
Q5T5S1,36,<100
Q5T5Y3,645,500-1000
Q5T6J7,645,500-1000
Q5T6L9,1488,>1000
Q5T6S3,987,500-1000
Q5T6X5,544,500-1000
Q5T700,680,500-1000
Q5T7B8,950,500-1000
Q5T7W0,544,500-1000
Q5T890,544,500-1000
Q5T8D3,886,500-1000
Q5T8P6,1488,>1000
Q5T9A4,18,<100
Q5T9C2,987,500-1000
Q5T9G4,645,500-1000
Q5T9L3,987,500-1000
Q5TA45,4300,>1000
Q5TAT6,454,100-500
Q5TC12,1714,>1000
Q5TC63,645,500-1000
Q5TC79,454,100-500
Q5TCQ9,645,500-1000
Q5TCS8,680,500-1000
Q5TCX8,645,500-1000
Q5TCZ1,645,500-1000
Q5TD94,987,500-1000
Q5TDH0,1488,>1000
Q5TDP6,544,500-1000
Q5TEJ8,645,500-1000
Q5TH74,987,500-1000
Q5THK1,544,500-1000
Q5THR3,987,500-1000
Q5TIA1,645,500-1000
Q5TID7,680,500-1000
Q5TIE3,950,500-1000
Q5TKA1,645,500-1000
Q5U5Z8,454,100-500
Q5VIR6,1714,>1000
Q5VSG8,645,500-1000
Q5VSL9,1488,>1000
Q5VST9,645,500-1000
Q5VT25,987,500-1000
Q5VT52,987,500-1000
Q5VT66,382,100-500
Q5VTH9,987,500-1000
Q5VTQ0,1714,>1000
Q5VTT5,950,500-1000
Q5VTY9,886,500-1000
Q5VU43,886,500-1000
Q5VUJ9,886,500-1000
Q5VV42,987,500-1000
Q5VV43,987,500-1000
Q5VVJ2,645,500-1000
Q5VVW2,1488,>1000
Q5VW38,1488,>1000
Q5VWK5,454,100-500
Q5VWP3,544,500-1000
Q5VWQ8,1064,>1000
Q5VWW1,886,500-1000
Q5VX71,645,500-1000
Q5VXD3,680,500-1000
Q5VXU1,950,500-1000
Q5VXU9,168,100-500
Q5VYM1,132,100-500
Q5VYS8,987,500-1000
Q5VZ89,1292,>1000
Q5VZF2,645,500-1000
Q5VZI3,454,100-500
Q5VZK9,680,500-1000
Q5VZL5,544,500-1000
Q5VZY2,810,500-1000
Q5W041,987,500-1000
Q5W0Z9,4300,>1000
Q5W5X9,645,500-1000
Q5XG92,987,500-1000
Q5XKK7,680,500-1000
Q5XKR9,544,500-1000
Q5XX13,950,500-1000
Q5XXA6,544,500-1000
Q5ZPR3,544,500-1000
Q60I27,544,500-1000
Q63HN8,680,500-1000
Q63HQ2,544,500-1000
Q63HR2,680,500-1000
Q63ZY3,987,500-1000
Q658P3,645,500-1000
Q659C4,1488,>1000
Q66K79,645,500-1000
Q66PJ3,987,500-1000
Q674R7,168,100-500
Q674X7,987,500-1000
Q676U5,1488,>1000
Q684P5,544,500-1000
Q68BL7,680,500-1000
Q68CJ9,1292,>1000
Q68CL5,987,500-1000
Q68CQ1,332,100-500
Q68CR1,680,500-1000
Q68CZ2,950,500-1000
Q68D10,645,500-1000
Q68D51,645,500-1000
Q68DA7,645,500-1000
Q68DC2,987,500-1000
Q68DD2,424,100-500
Q68DK2,1292,>1000
Q68DK7,987,500-1000
Q68DQ2,645,500-1000
Q68DV7,680,500-1000
Q68DX3,645,500-1000
Q68DY1,55,<100
Q68DY9,645,500-1000
Q68E01,1064,>1000
Q68EM7,1064,>1000
Q68EN5,680,500-1000
Q68G75,132,100-500
Q69YN2,1488,>1000
Q69YN4,680,500-1000
Q6AWC2,886,500-1000
Q6BAA4,544,500-1000
Q6DHV5,987,500-1000
Q6DHV7,987,500-1000
Q6DKJ4,454,100-500
Q6DN12,680,500-1000
Q6DN14,1292,>1000
Q6DN72,132,100-500
Q6DN90,4300,>1000
Q6E0U4,168,100-500
Q6EMB2,101,100-500
Q6FI81,1714,>1000
Q6GPH4,544,500-1000
Q6GPH6,544,500-1000
Q6GTX8,132,100-500
Q6GYQ0,1488,>1000
Q6H3X3,544,500-1000
Q6H8Q1,645,500-1000
Q6H9L7,55,<100
Q6IA86,1488,>1000
Q6IBW4,1064,>1000
Q6ICG6,987,500-1000
Q6ICL3,645,500-1000
Q6IE81,1488,>1000
Q6IMN6,987,500-1000
Q6IN85,1488,>1000
Q6IPM2,132,100-500
Q6IPT4,544,500-1000
Q6IQ19,680,500-1000
Q6IQ23,680,500-1000
Q6IQ49,1488,>1000
Q6IQ55,544,500-1000
Q6ISU1,168,100-500
Q6IWH7,70,<100
Q6JQN1,1064,>1000
Q6K0P9,78,<100
Q6KB66,382,100-500
Q6KC79,1714,>1000
Q6KCM7,454,100-500
Q6MZP7,645,500-1000
Q6MZQ0,645,500-1000
Q6MZW2,950,500-1000
Q6N021,454,100-500
Q6N043,424,100-500
Q6N063,645,500-1000
